"column1","column2","column3","column4","column5","column6","column7","column8"
"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Phormidiaceae","g__Microcoleus","MAG_TGLI2.17_maxbin2_bin.32*",
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Brevibacillales","f__Brevibacillaceae","g__Brevibacillus","s__Brevibacillus centrosporus","ISO_Y293-3-2-2.001*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","s__Janthinobacterium svalbardensis","ISO_PSRC1-1"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","s__Janthinobacterium svalbardensis","ISO_PSRC2-1"
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__54-19","MAG_KQGRSC.20.08_maxbin2_bin.30",,,
"d__Bacteria","p__Patescibacteria","c__Saccharimonadia","o__Saccharimonadales","f__AWTP1-31","MAG_TGLI2.17_maxbin2_bin.11",,
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","s__Janthinobacterium svalbardensis","ISO_PSPC2-1"
"d__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Byssovorax","MAG_MGGQSC.20.08_metabat2_bin.97",
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Paenibacillales","f__Paenibacillaceae","g__Paenibacillus_E","ISO_B2865-3*",
"d__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Byssovorax","MAG_MGGQSC.20.08_vamb_bins_S1C2030*",
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus pumilus","ISO_DWP2-2-2*"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Paenibacillales","f__Paenibacillaceae","g__Paenibacillus_E","ISO_B2827-1",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","s__Janthinobacterium svalbardensis","ISO_PSPC1-1*"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_C","g__Bacillus_U","s__Bacillus_U sporothermodurans","ISO_G1-a*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","ISO_DSP2-3-3",
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__54-19","f__54-19","MAG_KQGRSC.20.08_maxbin2_bin.8",,
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus zhangzhouensis","ISO_B2865-1.002*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter johnsonii","MAG_1901QYI1_maxbin2_bin.2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_A","g__Bacillus_X","s__Bacillus_X frigoritolerans","ISO_102-3*"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_A","g__Bacillus_X","s__Bacillus_X frigoritolerans","ISO_198-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_C","g__Bacillus_U","s__Bacillus_U sporothermodurans","ISO_M290-2-1.001"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus pumilus","ISO_DWP3-1"
"d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylobacterium","s__Methylobacterium aquaticum_B","MAG_GLYI1.20.09_metabat2_bin.33*"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus pumilus","ISO_DSP3-2-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus pumilus","ISO_TWP2-2-2"
"d__Bacteria","p__Myxococcota","c__Polyangia","o__Polyangiales","f__Polyangiaceae","g__Byssovorax","MAG_TGLSC.20.08_vamb_bins_S1C4176",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","ISO_PSPC3-1.001*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","ISO_DWP3-1-1*",
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_A","g__Bacillus_X","s__Bacillus_X frigoritolerans","ISO_R7-7.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Comamonas","s__Comamonas aquatica","ISO_Y-RC-72-1.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Comamonas","s__Comamonas aquatica","ISO_Y-RC-72-2A2.001*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","ISO_Y254-3-2-2*",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter johnsonii","ISO_B2188*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter johnsonii","ISO_GM-2-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae_A","g__Bacillus_X","s__Bacillus_X frigoritolerans","ISO_Y945.002"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","ISO_Y112-3-1",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","ISO_Y293-3-1*",
"d__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Phormidiaceae","g__Microcoleus","MAG_KQGRSC.20.08_vamb_bins_S1C1596",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter johnsonii","ISO_B2790-1"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Massilia","s__Massilia timonae","ISO_RC12-3*"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter sp002367455","ISO_TWP2-2-3*"
"d__Bacteria","p__Chloroflexota","c__Chloroflexia","o__54-19","f__54-19","MAG_1907PLC1_metabat2_bin.88",,
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Stenotrophomonas","s__Stenotrophomonas maltophilia_Z","ISO_GLY5-6-2.001"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter albensis","MAG_1907NJYTI1_maxbin2_bin.12.002"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","ISO_TSRC1-3",
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter fasciculus","ISO_Y569"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Acinetobacter","s__Acinetobacter lwoffii","ISO_ZD-11"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus atrophaeus","ISO_Y110-1"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus altitudinis","ISO_106"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus altitudinis","ISO_RC15-6-2"
"d__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Bacillaceae","g__Bacillus","s__Bacillus altitudinis","ISO_Y477-5"
"d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Janthinobacterium","MAG_1907MDGRS_metabat2_bin.5",
