id,inchikey,kingdom,superclass,class,subclass,parent_level_1,parent_level_2
1,WOMAZEJKVZLLFE-UHFFFAOYSA-N,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,Amino_acids_peptides_and_analogues,Amino_acids_and_derivatives,Alpha_amino_acids_and_derivatives
2,CVSVTCORWBXHQV-UHFFFAOYSA-N,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,Amino_acids_peptides_and_analogues,Amino_acids_and_derivatives,Alpha_amino_acids_and_derivatives
3,DCXYFEDJOCDNAF-REOHCLBHSA-N,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,Amino_acids_peptides_and_analogues,Amino_acids_and_derivatives,Alpha_amino_acids_and_derivatives
4,YMAWOPBAYDPSLA-UHFFFAOYSA-N,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,Amino_acids_peptides_and_analogues,Peptides,Dipeptides
5,KJPRLNWUNMBNBZ-QPJJXVBHSA-N,Organic_compounds,Phenylpropanoids_and_polyketides,Cinnamaldehydes,,,
6,LXVSANCQXSSLPA-UHFFFAOYSA-N,Organic_compounds,Lipids_and_lipid_like_molecules,Fatty_Acyls,Fatty_acids_and_conjugates,Hydroxy_fatty_acids,
7,SUHOOTKUPISOBE-UHFFFAOYSA-N,Organic_compounds,Organic_acids_and_derivatives,Organic_phosphoric_acids_and_derivatives,Phosphate_esters,Phosphoethanolamines,
8,HAPOVYFOVVWLRS-UHFFFAOYSA-N,Organic_compounds,Organoheterocyclic_compounds,Pyrrolidines,Pyrrolidones,Pyrrolidine_2_ones,
9,YHGNXQAFNHCBTK-OWOJBTEDSA-N,Organic_compounds,Lipids_and_lipid_like_molecules,Fatty_Acyls,Fatty_acids_and_conjugates,Medium_chain_fatty_acids,
10,NIJJYAXOARWZEE-UHFFFAOYSA-N,Organic_compounds,Lipids_and_lipid_like_molecules,Fatty_Acyls,Fatty_acids_and_conjugates,Branched_fatty_acids,Methyl_branched_fatty_acids
11,MCJGNVYPOGVAJF-UHFFFAOYSA-N,Organic_compounds,Organoheterocyclic_compounds,Quinolines_and_derivatives,8_hydroxyquinolines,,
12,TUHVEAJXIMEOSA-UHFFFAOYSA-N,Organic_compounds,Organic_acids_and_derivatives,Carboxylic_acids_and_derivatives,Amino_acids_peptides_and_analogues,Amino_acids_and_derivatives,Gamma_amino_acids_and_derivatives
13,JHPNVNIEXXLNTR-UHFFFAOYSA-N,Organic_compounds,Lipids_and_lipid_like_molecules,Fatty_Acyls,Fatty_acids_and_conjugates,Straight_chain_fatty_acids,
14,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,Organic_compounds,Phenylpropanoids_and_polyketides,Coumarins_and_derivatives,,,
15,XNERWVPQCYSMLC-UHFFFAOYSA-N,Organic_compounds,Benzenoids,Benzene_and_substituted_derivatives,,,
