id,taxid,domain,kingdom,phylum,class,order,family,genus,species
Phocaeicola_dorei_CL03T12C01,997877,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_dorei
Eubacterium_eligens_ATCC_27750,515620,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnospira,Lachnospira_eligens
Providencia_stuartii_ATCC_25827,471874,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia_stuartii
Phocaeicola_vulgatus_ATCC_8482,435590,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_vulgatus
Bacteroides_fragilis_3_1_12,457424,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Eubacterium_rectale_ATCC_33656,515619,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Eubacterium_rectale__S+,Eubacterium_rectale
s__Bacillus_sp_7_6_55CFAA_CT2,665957,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus_sp_7_6_55CFAA_CT2
Collinsella_aerofaciens_ATCC_25986,411903,Bacteria,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_aerofaciens
Bifidobacterium_breve_DSM_20213_JCM_1192,518634,Bacteria,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_breve
s__Coprococcus_sp_HPP0048,1078091,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Coprococcus,Coprococcus_sp_HPP0048
s__Bacteroides_sp_2_1_22,469588,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_sp_2_1_22
Phocaeicola_dorei_5_1_36_D4,556260,Bacteria,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola_dorei
Enterococcus_faecalis_TX1322,525278,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_faecalis
Clostridium_cadaveris_CC44_001G,1073356,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium_cadaveris
