"id","parent","branch.length","Label","isTip"
1,1229,NA,"1224",TRUE
2,1229,NA,"1036",TRUE
3,1229,NA,"1032",TRUE
4,1230,NA,"996",TRUE
5,1230,NA,"946",TRUE
6,1230,NA,"622",TRUE
7,1230,NA,"605",TRUE
8,1233,NA,"1222",TRUE
9,1233,NA,"1029",TRUE
10,1233,NA,"1024",TRUE
11,1233,NA,"474",TRUE
12,1233,NA,"468",TRUE
13,1235,NA,"1106",TRUE
14,1235,NA,"1105",TRUE
15,1235,NA,"547",TRUE
16,1235,NA,"544",TRUE
17,1236,NA,"1067",TRUE
18,1236,NA,"1066",TRUE
19,1236,NA,"995",TRUE
20,1236,NA,"991",TRUE
21,1236,NA,"989",TRUE
22,1236,NA,"502",TRUE
23,1236,NA,"444",TRUE
24,1236,NA,"443",TRUE
25,1237,NA,"1031",TRUE
26,1237,NA,"471",TRUE
27,1238,NA,"738",TRUE
28,1239,NA,"199",TRUE
29,1241,NA,"107",TRUE
30,1241,NA,"106",TRUE
31,1245,NA,"1221",TRUE
32,1245,NA,"1030",TRUE
33,1245,NA,"472",TRUE
34,1243,NA,"1110",TRUE
35,1243,NA,"722",TRUE
36,1243,NA,"550",TRUE
37,1243,NA,"120",TRUE
38,1247,NA,"783",TRUE
39,1247,NA,"780",TRUE
40,1247,NA,"189",TRUE
41,1247,NA,"188",TRUE
42,1247,NA,"186",TRUE
43,1251,NA,"1219",TRUE
44,1251,NA,"1059",TRUE
45,1251,NA,"1053",TRUE
46,1251,NA,"1018",TRUE
47,1251,NA,"490",TRUE
48,1252,NA,"1146",TRUE
49,1252,NA,"1063",TRUE
50,1252,NA,"1056",TRUE
51,1252,NA,"1022",TRUE
52,1252,NA,"901",TRUE
53,1252,NA,"898",TRUE
54,1252,NA,"641",TRUE
55,1252,NA,"580",TRUE
56,1252,NA,"495",TRUE
57,1252,NA,"464",TRUE
58,1252,NA,"336",TRUE
59,1252,NA,"335",TRUE
60,1252,NA,"43",TRUE
61,1253,NA,"1195",TRUE
62,1253,NA,"123",TRUE
63,1254,NA,"1158",TRUE
64,1254,NA,"593",TRUE
65,1256,NA,"1156",TRUE
66,1256,NA,"590",TRUE
67,1258,NA,"1148",TRUE
68,1258,NA,"583",TRUE
69,1259,NA,"1128",TRUE
70,1259,NA,"25",TRUE
71,1261,NA,"974",TRUE
72,1263,NA,"201",TRUE
73,1264,NA,"745",TRUE
74,1264,NA,"139",TRUE
75,1267,NA,"1201",TRUE
76,1267,NA,"864",TRUE
77,1267,NA,"680",TRUE
78,1267,NA,"672",TRUE
79,1267,NA,"658",TRUE
80,1267,NA,"651",TRUE
81,1267,NA,"615",TRUE
82,1267,NA,"83",TRUE
83,1267,NA,"75",TRUE
84,1267,NA,"55",TRUE
85,1267,NA,"50",TRUE
86,1267,NA,"18",TRUE
87,1266,NA,"858",TRUE
88,1266,NA,"681",TRUE
89,1266,NA,"676",TRUE
90,1266,NA,"650",TRUE
91,1266,NA,"257",TRUE
92,1266,NA,"84",TRUE
93,1266,NA,"79",TRUE
94,1266,NA,"74",TRUE
95,1266,NA,"52",TRUE
96,1269,NA,"1176",TRUE
97,1269,NA,"1124",TRUE
98,1269,NA,"710",TRUE
99,1269,NA,"671",TRUE
100,1269,NA,"608",TRUE
101,1269,NA,"560",TRUE
102,1269,NA,"551",TRUE
103,1269,NA,"546",TRUE
104,1269,NA,"73",TRUE
105,1268,NA,"1004",TRUE
106,1268,NA,"454",TRUE
107,1268,NA,"398",TRUE
108,1268,NA,"46",TRUE
109,1270,NA,"1120",TRUE
110,1271,NA,"1118",TRUE
111,1272,NA,"699",TRUE
112,1272,NA,"618",TRUE
113,1272,NA,"101",TRUE
114,1272,NA,"23",TRUE
115,1271,NA,"674",TRUE
116,1271,NA,"653",TRUE
117,1271,NA,"613",TRUE
118,1271,NA,"558",TRUE
119,1271,NA,"77",TRUE
120,1271,NA,"16",TRUE
121,1273,NA,"1081",TRUE
122,1273,NA,"518",TRUE
124,1274,NA,"1041",TRUE
125,1274,NA,"696",TRUE
126,1274,NA,"481",TRUE
127,1274,NA,"260",TRUE
128,1274,NA,"99",TRUE
130,1278,NA,"1196",TRUE
131,1278,NA,"1048",TRUE
132,1278,NA,"724",TRUE
133,1278,NA,"723",TRUE
134,1279,NA,"1182",TRUE
135,1279,NA,"1180",TRUE
136,1279,NA,"1151",TRUE
137,1279,NA,"1144",TRUE
138,1279,NA,"1143",TRUE
139,1279,NA,"1142",TRUE
140,1279,NA,"1141",TRUE
141,1279,NA,"664",TRUE
142,1279,NA,"631",TRUE
143,1279,NA,"630",TRUE
144,1279,NA,"585",TRUE
145,1279,NA,"532",TRUE
146,1279,NA,"90",TRUE
147,1279,NA,"66",TRUE
148,1279,NA,"65",TRUE
149,1279,NA,"62",TRUE
150,1279,NA,"39",TRUE
151,1279,NA,"37",TRUE
152,1279,NA,"36",TRUE
153,1280,NA,"1140",TRUE
154,1280,NA,"576",TRUE
155,1276,NA,"1085",TRUE
156,1281,NA,"1044",TRUE
157,1282,NA,"675",TRUE
158,1282,NA,"78",TRUE
159,1281,NA,"483",TRUE
160,1276,NA,"1040",TRUE
161,1284,NA,"1189",TRUE
162,1284,NA,"1169",TRUE
163,1284,NA,"1168",TRUE
164,1284,NA,"678",TRUE
165,1284,NA,"648",TRUE
166,1284,NA,"603",TRUE
167,1284,NA,"600",TRUE
168,1284,NA,"80",TRUE
169,1285,NA,"400",TRUE
170,1285,NA,"11",TRUE
171,1287,NA,"180",TRUE
174,1290,NA,"1130",TRUE
175,1292,NA,"803",TRUE
179,1295,NA,"802",TRUE
180,1295,NA,"211",TRUE
181,1295,NA,"200",TRUE
183,1298,NA,"1069",TRUE
184,1298,NA,"994",TRUE
185,1298,NA,"500",TRUE
186,1298,NA,"445",TRUE
187,1300,NA,"1065",TRUE
188,1300,NA,"1027",TRUE
189,1301,NA,"589",TRUE
190,1301,NA,"586",TRUE
191,1303,NA,"998",TRUE
192,1305,NA,"847",TRUE
193,1306,NA,"247",TRUE
194,1310,NA,"794",TRUE
195,1310,NA,"217",TRUE
196,1310,NA,"203",TRUE
199,1313,NA,"682",TRUE
200,1314,NA,"677",TRUE
201,1314,NA,"81",TRUE
202,1317,NA,"498",TRUE
203,1317,NA,"8",TRUE
204,1320,NA,"262",TRUE
205,1323,NA,"231",TRUE
206,1323,NA,"229",TRUE
208,1326,NA,"212",TRUE
209,1326,NA,"179",TRUE
210,1328,NA,"185",TRUE
211,1330,NA,"145",TRUE
212,1332,NA,"143",TRUE
214,1336,NA,"1223",TRUE
215,1336,NA,"997",TRUE
216,1336,NA,"430",TRUE
217,1337,NA,"1191",TRUE
218,1338,NA,"1112",TRUE
219,1338,NA,"556",TRUE
220,1339,NA,"1011",TRUE
221,1339,NA,"426",TRUE
222,1340,NA,"1003",TRUE
223,1340,NA,"1001",TRUE
224,1340,NA,"511",TRUE
225,1340,NA,"451",TRUE
226,1342,NA,"1217",TRUE
227,1342,NA,"1117",TRUE
228,1342,NA,"1009",TRUE
229,1342,NA,"1008",TRUE
230,1342,NA,"999",TRUE
231,1342,NA,"455",TRUE
232,1342,NA,"433",TRUE
233,1342,NA,"424",TRUE
234,1342,NA,"418",TRUE
235,1342,NA,"397",TRUE
236,1342,NA,"377",TRUE
237,1342,NA,"375",TRUE
238,1345,NA,"1216",TRUE
239,1345,NA,"1212",TRUE
240,1345,NA,"1207",TRUE
241,1345,NA,"1206",TRUE
242,1345,NA,"1205",TRUE
243,1345,NA,"1204",TRUE
244,1345,NA,"1200",TRUE
245,1345,NA,"1199",TRUE
246,1345,NA,"1198",TRUE
247,1345,NA,"1193",TRUE
248,1345,NA,"1192",TRUE
249,1345,NA,"1190",TRUE
250,1345,NA,"1188",TRUE
251,1345,NA,"1187",TRUE
252,1345,NA,"1186",TRUE
253,1345,NA,"1179",TRUE
254,1345,NA,"1175",TRUE
255,1345,NA,"1172",TRUE
256,1345,NA,"1171",TRUE
257,1345,NA,"1170",TRUE
258,1345,NA,"1160",TRUE
259,1345,NA,"1157",TRUE
260,1345,NA,"1147",TRUE
261,1345,NA,"1138",TRUE
262,1345,NA,"1137",TRUE
263,1345,NA,"1132",TRUE
264,1345,NA,"1123",TRUE
265,1345,NA,"1122",TRUE
266,1345,NA,"1121",TRUE
267,1345,NA,"1114",TRUE
268,1345,NA,"1113",TRUE
269,1345,NA,"1111",TRUE
270,1345,NA,"1107",TRUE
271,1345,NA,"1104",TRUE
272,1345,NA,"1094",TRUE
273,1345,NA,"1084",TRUE
274,1345,NA,"1080",TRUE
275,1345,NA,"1079",TRUE
276,1345,NA,"1076",TRUE
277,1345,NA,"1070",TRUE
278,1345,NA,"1043",TRUE
279,1345,NA,"1037",TRUE
280,1345,NA,"1016",TRUE
281,1345,NA,"1012",TRUE
282,1345,NA,"1007",TRUE
283,1345,NA,"1006",TRUE
284,1345,NA,"1005",TRUE
285,1345,NA,"1002",TRUE
286,1345,NA,"1000",TRUE
287,1345,NA,"993",TRUE
288,1345,NA,"982",TRUE
289,1345,NA,"980",TRUE
290,1345,NA,"978",TRUE
