taxonomy,exp_id,experiment,sample_type,media,subculture_time,preculture_time,c18positive,c18negative,hilicpositive,culture_source,grouped_taxonomy,kingdom,phylum,class,order,family,genus,species,strain,morphology
Coprococcus sp. HPP0074 BEI HM-793,3,20181030,supernatant,pyg,16,30,s03081,s03182,s02980,c0082,Coprococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,HPP0074,
,4,20190228,media_blank,mm,17.25,,s03818,s03658,s03513,,,,,,,,,,,
,5,20190228,media_blank,mm,17.25,,s03819,s03659,s03514,,,,,,,,,,,
,6,20190228,media_blank,mm,17.25,,s03820,s03660,s03515,,,,,,,,,,,
Bacteroides thetaiotaomicron VPI 5482,13,20181030,supernatant,mm,12,30,s03029,s03130,s02928,c0206,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,,
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,14,20180512,supernatant,mm,12,24,s00010,s00131,s00218,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,15,20180512,supernatant,mm,12,24,s00011,s00132,s00219,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,16,20180512,supernatant,mm,12,24,s00012,s00133,s00220,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,17,20180512,supernatant,mm,12,24,s00013,s00134,s00221,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Anaerostipes sp. 3_2_56FAA BEI HM-220 904a,18,20180512,supernatant,mm,12,24,s00014,s00135,s00222,c0009,Anaerostipes,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,3_2_56FAA,904a
Bifidobacterium pseudocatenulatum DSMZ 20438,20,20180716,supernatant,mm,16,29,s01826,s01948,s02056,c0251,Bifidobacterium pseudocatenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudocatenulatum,,
Bifidobacterium pseudocatenulatum DSMZ 20438,21,20180716,supernatant,mm,16,29,s01827,s01949,s02057,c0251,Bifidobacterium pseudocatenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudocatenulatum,,
Bifidobacterium pseudocatenulatum DSMZ 20438,22,20180716,supernatant,mm,16,29,s01828,s01950,s02058,c0251,Bifidobacterium pseudocatenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,pseudocatenulatum,,
Clostridium aldenense WAL-18727 BEI HM-307,23,20181030,supernatant,mm,16,30,s03074,s03175,s02973,c0034,Clostridium aldenense,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,aldenense,WAL-18727,
Bacteroides thetaiotaomicron 7853,24,20180629,supernatant,mm,24,25,s01658,s01476,s01288,c0198,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,7853,
Bacteroides thetaiotaomicron 7853,25,20180629,supernatant,mm,24,25,s01659,s01477,s01289,c0198,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,7853,
Bacteroides thetaiotaomicron 7853,26,20180629,supernatant,mm,24,25,s01660,s01478,s01290,c0198,Bacteroides thetaiotaomicron,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,thetaiotaomicron,7853,
Lactobacillus rhamnosus LMS2-1 BEI HM-106,27,20180618,supernatant,mm,12,24,s01014,s00847,s01175,c0121,Lactobacillus rhamnosus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rhamnosus,LMS2-1,
Lactobacillus rhamnosus LMS2-1 BEI HM-106,28,20180618,supernatant,mm,12,24,s01015,s00848,s01176,c0121,Lactobacillus rhamnosus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rhamnosus,LMS2-1,
Lactobacillus rhamnosus LMS2-1 BEI HM-106,29,20180618,supernatant,mm,12,24,s01016,s00849,s01177,c0121,Lactobacillus rhamnosus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,rhamnosus,LMS2-1,
Clostridium leptum DSMZ 753,30,20190228,supernatant,mm,17.25,,s03790,s03630,s03485,c0053,Clostridium leptum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,leptum,,
Clostridium leptum DSMZ 753,31,20190228,supernatant,mm,17.25,,s03791,s03631,s03486,c0053,Clostridium leptum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,leptum,,
Clostridium leptum DSMZ 753,32,20190228,supernatant,mm,17.25,,s03792,s03632,s03487,c0053,Clostridium leptum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridaceae,Clostridium,leptum,,
Anaerococcus lactolyticus CC31C BEI HM-1034,33,20180728,supernatant,mm,46.5,40,s02748,s02552,s02355,c0013,Anerociccus lactolyticus,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anerociccus,lactolyticus,CC31C,
Anaerococcus lactolyticus CC31C BEI HM-1034,34,20180728,supernatant,mm,,,s02749,s02553,s02356,c0013,Anerociccus lactolyticus,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anerociccus,lactolyticus,CC31C,
Anaerococcus lactolyticus CC31C BEI HM-1034,35,20180728,supernatant,mm,,,s02750,s02554,s02357,c0013,Anerociccus lactolyticus,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anerociccus,lactolyticus,CC31C,
Desulfovibrio piger ATCC 29098 M1,40,20190228,supernatant,mm,17.25,,s03812,s03652,s03507,c0390,Desulfovibrio piger,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,piger,M1,
Desulfovibrio piger ATCC 29098 M1,41,20190228,supernatant,mm,17.25,,s03813,s03653,s03508,c0390,Desulfovibrio piger,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,piger,M1,
Desulfovibrio piger ATCC 29098 M1,42,20190228,supernatant,mm,17.25,,s03814,s03654,s03509,c0390,Desulfovibrio piger,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,piger,M1,
Clostridioides difficile ATCC BAA-1801,43,20180728,supernatant,bhis,21,40,s02699,s02503,s02305,c0283,Clostridioides difficile,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,difficile,BAA-1801,
