"id","taxid","domain","kingdom","phylum","class","order","family","genus","species","Metabolite","foldchange_abundance","Manual_label"
"Phocaeicola_dorei_CL03T12C01",997877,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","PUTRESCINE",0.0430310732880298,
"Phocaeicola_dorei_CL03T12C01",997877,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","AGMATINE",0.00145926885019006,
"Phocaeicola_dorei_CL03T12C01",997877,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","ORNITHINE",0.0371454492054517,
"Phocaeicola_dorei_CL03T12C01",997877,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_dorei","CITRULLINE",,
"Eubacterium_eligens_ATCC_27750",515620,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira_eligens","PUTRESCINE",0.123606683041817,"Eubacterium_eligens_ATCC_27750"
"Eubacterium_eligens_ATCC_27750",515620,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira_eligens","AGMATINE",0.00267571272084214,"Eubacterium_eligens_ATCC_27750"
"Eubacterium_eligens_ATCC_27750",515620,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira_eligens","ORNITHINE",0.048000007769374,"Eubacterium_eligens_ATCC_27750"
"Eubacterium_eligens_ATCC_27750",515620,"Bacteria","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira_eligens","CITRULLINE",0.0373498380061251,"Eubacterium_eligens_ATCC_27750"
"Providencia_stuartii_ATCC_25827",471874,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia_stuartii","PUTRESCINE",0.156310101495257,"Providencia_stuartii_ATCC_25827"
"Providencia_stuartii_ATCC_25827",471874,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia_stuartii","AGMATINE",0.00394214716201775,"Providencia_stuartii_ATCC_25827"
"Providencia_stuartii_ATCC_25827",471874,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia_stuartii","ORNITHINE",0.0157561462560886,"Providencia_stuartii_ATCC_25827"
"Providencia_stuartii_ATCC_25827",471874,"Bacteria","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia_stuartii","CITRULLINE",0.0777220077478342,"Providencia_stuartii_ATCC_25827"
"Phocaeicola_vulgatus_ATCC_8482",435590,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_vulgatus","PUTRESCINE",0.0517576263707231,
"Phocaeicola_vulgatus_ATCC_8482",435590,"Bacteria","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_vulgatus","AGMATINE",0.0270750878117764,
