id,TGG OTU_ID(ANI0.95),dRep OTU_ID(ANI0.95),Type,Contig_numbers,N50,Genome_length,GC,Completeness,Contamination,Strain_heterogeneity,Num_CDS,Num_Gene,Num_5S_rRNA,Num_16S_rRNA,Num_23S_rRNA,Num_tRNA,Quality_score,Quality_tier_standard(MIMAG，10.1038/nbt.3893),GTDB_classification
MAG_TGLI2.17_maxbin2_bin.32*,TGG_OTU832,793_0,MAG,2598,1719,4370584,0.468776,75.08,4.69,25,3592,3718,1,7,11,115,51.63,Medium,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Microcoleus;s__
ISO_Y293-3-2-2.001*,TGG_OTU148,229_0,Cultivated,61,301560,5915541,0.494562,99.73,1.3,0,5883,6004,1,2,2,114,93.23,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus;s__Brevibacillus centrosporus
ISO_PSRC1-1,TGG_OTU553,571_3,Cultivated,41,399118,6252861,0.623739437,99.87,1.15,0,5536,5635,14,21,17,97,94.12,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium svalbardensis
ISO_PSRC2-1,TGG_OTU553,571_3,Cultivated,44,308933,6253101,0.623745243,99.87,1.15,0,5534,5632,14,21,17,96,94.12,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium svalbardensis
MAG_KQGRSC.20.08_maxbin2_bin.30,TGG_OTU819,783_1,MAG,951,11908,6691234,0.650535,92.52,3.67,42.86,5586,5684,0,0,0,96,74.17,High,d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__54-19;f__;g__;s__
MAG_TGLI2.17_maxbin2_bin.11,TGG_OTU948,887_1,MAG,359,6798,1595401,0.529726,71.95,0.5,0,1736,1840,3,8,16,95,69.45,Medium,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__AWTP1-31;g__;s__
ISO_PSPC2-1,TGG_OTU553,571_3,Cultivated,47,400434,6254336,0.623730481,99.87,1.15,0,5538,5634,14,21,18,94,94.12,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium svalbardensis
MAG_MGGQSC.20.08_metabat2_bin.97,TGG_OTU421,463_1,MAG,484,32318,9648305,0.685273,93.55,3.89,12.5,7952,8045,3,0,0,89,74.1,High,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Byssovorax;s__
ISO_B2865-3*,TGG_OTU147,228_1,Cultivated,121,200974,8164678,0.449215,98.98,2.03,0,7376,7468,1,1,3,87,88.83,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_E;s__
MAG_MGGQSC.20.08_vamb_bins_S1C2030*,TGG_OTU421,463_1,MAG,429,33456,9594816,0.689407,94.06,3.89,12.5,7892,7983,3,0,0,87,74.61,High,d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Byssovorax;s__
ISO_DWP2-2-2*,TGG_OTU933,874_3,Cultivated,398,433267,3750572,0.605588,99.48,0.86,0,3654,3751,10,10,7,86,95.18,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus
ISO_B2827-1,TGG_OTU147,228_1,Cultivated,134,197939,8144065,0.448758,98.98,2.03,0,7364,7453,0,1,3,85,88.83,Medium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus_E;s__
ISO_PSPC1-1*,TGG_OTU553,571_3,Cultivated,40,630241,6234676,0.623855033,99.95,1.28,0,5390,5483,6,3,16,85,93.55,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__Janthinobacterium svalbardensis
ISO_G1-a*,TGG_OTU910,861_1,Cultivated,139,71600,3797354,0.357909745,97.75,1.25,0,3801,3892,3,4,1,85,91.5,High,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_C;g__Bacillus_U;s__Bacillus_U sporothermodurans
ISO_DSP2-3-3,TGG_OTU552,571_2,Cultivated,44,373513,6140191,0.619044424,99.75,0.96,0,5408,5500,10,27,22,84,94.95,High,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Janthinobacterium;s__
